id;size;wrappings
52169;10;0
4957;3;1
4942;2;0
4943;1;1
4944;1;1
4939;35;3
4940;4;0
4941;6;1
4945;19;1
4946;5;1
4947;7;0
4948;47;0
4949;4;0
4950;1;0
4951;2;1
4952;28;1
4953;18;1
4954;45;0
4955;15;0
4956;2;0
4958;10;0
4959;8;0
4960;1;0
4961;3;0
4962;4;0
4963;2;0
53167;11;0
53168;28;1
53745;130;0
17354;1;0
17355;2;0
17356;4;0
6302;15;1
6303;16;2
6304;17;1
6305;16;1
6306;9;1
6307;14;0
6308;24;3
6309;14;1
6310;15;1
9808;4;0
9830;2;0
9809;8;0
9810;4;0
9811;2;0
9812;22;1
9813;6;0
9814;3;0
9815;6;0
9816;2;0
9817;2;0
9818;4;0
9819;3;0
9820;8;0
9821;2;0
9822;4;0
9823;10;0
9824;1;0
9825;22;2
9826;5;0
9827;1;0
9828;6;0
9829;2;0
9831;7;0
9832;7;0
9833;1;0
9834;22;1
9835;10;0
9836;1;0
9837;10;0
9838;46;2
9839;10;1
9840;27;1
9841;10;0
9842;5;0
9843;22;1
9801;4;0
9798;3;0
9799;51;1
9800;9;0
9802;47;0
9803;13;0
9804;13;0
9805;2;0
9806;2;0
9807;2;0
18686;35;0
18687;44;5
16937;73;5
16938;8;0
16931;17;0
16932;3;0
16933;15;1
16934;73;5
16935;73;5
16936;73;5
18322;9;0
18323;10;0
18324;5;0
18325;4;1
18326;8;1
18327;10;0
18328;3;1
18329;22;2
18330;12;1
18331;2;0
18332;4;1
18333;4;0
18334;2;0
18335;30;2
18336;17;1
18337;26;0
18338;10;0
18339;3;0
18340;6;2
18341;47;0
18342;2;0
18343;2;0
18344;4;1
18345;3;0
18346;20;3
18347;2;0
18348;3;0
18349;3;1
18350;16;0
18351;10;0
6055;46;0
9342;43;1
9343;6;0
9344;86;4
9345;18;3
9346;45;2
20562;22;0
20551;4;1
20552;18;1
20553;20;1
20554;4;2
20555;27;1
20556;16;0
20557;2;1
20558;75;5
20559;18;1
20560;40;1
20561;35;2
20563;29;1
20564;18;1
20565;34;1
20566;48;1
20572;19;1
20567;20;1
20568;13;0
20569;30;1
20570;15;0
20571;2;1
20573;16;0
20574;19;1
20575;17;1
20576;4;1
20577;2;0
20578;18;1
20579;2;1
20580;18;1
20581;18;1
20582;4;1
20583;30;1
20584;4;1
20585;17;1
20586;16;1
20587;27;1
20588;32;1
20589;18;1
20590;19;1
20591;2;0
20592;17;1
14280;37;0
51775;3;1
51776;3;0
51777;5;1
51778;3;0
6059;36;0
6173;5;0
6174;5;0
6175;40;3
6176;9;0
6177;18;0
51785;23;0
51786;2;0
8076;16;0
8077;18;1
